,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
15,Bayern Munich,3,4.92,24,11,13,5.67,3.00,RasenBallsport Leipzig,0,0.14,4,2,1,20.74,0.00
16,Freiburg,1,0.70,11,3,3,19.24,1.42,Bayern Munich,2,0.60,13,5,8,3.72,1.20
17,Werder Bremen,1,0.74,11,4,6,14.04,1.39,Bayern Munich,2,0.66,13,4,11,6.17,1.24
18,Bayern Munich,1,1.21,12,4,8,7.25,1.58,Schalke 04,1,0.93,7,3,7,11.79,1.11
19,Ingolstadt,0,0.44,8,0,2,12.81,0.33,Bayern Munich,2,1.89,17,5,11,4.43,2.49
20,Hertha Berlin,1,0.93,11,2,1,16.40,0.99,Bayern Munich,1,1.28,16,7,10,6.90,1.68
21,Bayern Munich,8,3.62,18,12,12,5.65,2.96,Hamburger SV,0,0.23,5,1,1,21.48,0.02
22,FC Cologne,0,0.18,6,2,4,17.23,0.30,Bayern Munich,3,1.61,20,8,18,5.65,2.51
23,Bayern Munich,3,2.93,16,7,7,4.50,2.75,Eintracht Frankfurt,0,0.75,10,4,4,19.83,0.16
24,B. Monchengladbach,0,0.76,14,1,4,26.88,0.44,Bayern Munich,1,2.22,19,6,17,7.11,2.39
25,Bayern Munich,6,3.68,21,8,29,5.50,2.98,Augsburg,0,0.19,6,2,0,29.75,0.01
26,Hoffenheim,1,0.97,14,4,5,11.00,0.63,Bayern Munich,0,1.89,21,6,19,5.05,2.14
27,Bayern Munich,4,1.96,18,6,12,5.33,2.36,Borussia Dortmund,1,0.70,9,3,4,21.46,0.45
28,Bayer Leverkusen,0,0.38,9,2,7,18.95,0.24,Bayern Munich,0,2.14,21,6,12,4.33,2.63
29,Bayern Munich,2,0.92,20,7,14,4.84,0.67,Mainz 05,2,1.75,10,5,5,31.77,2.09
30,Wolfsburg,0,0.36,7,3,2,23.35,0.20,Bayern Munich,6,2.26,17,9,4,8.88,2.69
31,Bayern Munich,1,2.43,23,8,17,10.64,2.22,Darmstadt,0,1.19,13,3,2,18.28,0.57
32,RasenBallsport Leipzig,4,2.05,11,6,6,17.50,0.50,Bayern Munich,5,3.62,20,9,15,8.35,2.35
33,Bayern Munich,4,3.93,33,11,17,7.16,2.59,Freiburg,1,1.53,19,8,14,19.47,0.31
34,Werder Bremen,1,1.63,10,1,7,7.62,1.35,Augsburg,2,1.66,18,5,4,5.49,1.37
35,B. Monchengladbach,4,3.63,15,7,6,10.50,2.78,Werder Bremen,1,1.20,9,5,5,13.27,0.15
36,Werder Bremen,1,0.92,13,7,3,10.25,0.96,Mainz 05,2,1.39,13,6,6,5.38,1.76
37,Werder Bremen,2,1.11,16,4,7,12.96,1.91,Wolfsburg,1,0.48,11,3,6,8.85,0.77
38,Darmstadt,2,1.28,9,2,3,6.90,1.12,Werder Bremen,2,1.55,15,7,6,4.87,1.56
39,Werder Bremen,2,1.52,11,5,4,17.63,2.27,Bayer Leverkusen,1,0.55,13,6,14,4.69,0.51
40,RasenBallsport Leipzig,3,3.34,22,6,11,3.72,2.77,Werder Bremen,1,0.91,7,3,5,14.44,0.15
41,Werder Bremen,1,1.29,13,4,6,6.19,1.03,Freiburg,3,1.71,14,5,6,7.74,1.69
42,Schalke 04,3,2.85,24,6,4,8.86,2.60,Werder Bremen,1,1.01,8,5,11,10.83,0.27
43,Werder Bremen,1,1.03,14,4,7,11.80,0.90,Eintracht Frankfurt,2,1.62,18,9,5,6.32,1.84
44,Hamburger SV,2,2.17,17,7,10,6.22,2.09,Werder Bremen,2,1.21,12,4,5,7.67,0.69
45,Werder Bremen,2,2.24,13,5,8,8.48,2.16,Ingolstadt,1,1.10,15,5,6,6.67,0.64
46,Hertha Berlin,0,0.52,11,4,10,6.73,0.65,Werder Bremen,1,1.37,13,6,3,13.33,2.08
47,Werder Bremen,1,0.38,10,5,2,4.10,0.27,FC Cologne,1,1.85,14,5,5,6.88,2.58
48,Hoffenheim,1,1.51,12,3,4,8.48,2.19,Werder Bremen,1,0.55,10,3,8,14.77,0.58
49,Werder Bremen,1,0.68,9,5,7,6.97,0.20,Borussia Dortmund,2,2.86,22,8,9,6.61,2.70
50,Augsburg,3,1.60,15,7,7,9.83,0.85,Werder Bremen,2,2.33,19,4,6,12.44,1.92
51,Werder Bremen,0,1.06,16,6,13,9.65,1.14,B. Monchengladbach,1,1.32,12,3,6,17.55,1.57
