,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
333,cat333,1,,44,,,0,,18,,1,0,0,0,,1,0,,Estoril,,1,28.01.2017 19:15,Primeira Liga - Round 19,cat333,2,,56,,,4,,9,,4,0,0,3,,4,0,,FC Porto,,0,28.01.2017 19:15,Primeira Liga - Round 19
334,cat334,1,,49,,,3,,9,,2,2,1,1,,1,1,,Sporting,,2,28.01.2017 21:30,Primeira Liga - Round 19,cat334,2,,51,,,4,,5,,8,0,2,1,,4,4,,Ferreira,,0,28.01.2017 21:30,Primeira Liga - Round 19
335,cat335,1,,59,,,2,,11,,7,2,3,2,,4,3,,Sporting,,1,28.01.2017 21:30,Primeira Liga - Round 19,cat335,2,,41,,,3,,10,,5,0,0,1,,3,2,,Ferreira,,3,28.01.2017 21:30,Primeira Liga - Round 19
336,cat336,1,,28,,,1,,10,,0,3,0,1,,0,0,,Vitoria Setubal,,2,30.01.2017 21:00,Primeira Liga - Round 19,cat336,2,,72,,,6,,11,,11,0,0,1,,8,3,,Benfica,,0,30.01.2017 21:00,Primeira Liga - Round 19
337,cat337,1,,34,,,1,,7,,3,2,1,1,,2,1,,Vitoria Setubal,,0,30.01.2017 21:00,Primeira Liga - Round 19,cat337,2,,66,,,4,,8,,9,0,0,0,,7,2,,Benfica,,1,30.01.2017 21:00,Primeira Liga - Round 19
338,cat338,1,,50,,,1,,10,,4,1,0,0,0,3,1,,Moreirense,,2,02.02.2017 20:00,Primeira Liga - Round 19,cat338,2,,50,,,3,,9,,7,1,1,0,1,5,2,,Feirense,,4,02.02.2017 20:00,Primeira Liga - Round 19
339,cat339,1,,54,,,4,,12,,7,2,1,0,,3,4,,Moreirense,,2,02.02.2017 20:00,Primeira Liga - Round 19,cat339,2,,46,,,3,,6,,6,3,0,0,,4,2,,Feirense,,1,02.02.2017 20:00,Primeira Liga - Round 19
340,cat340,1,,48,,,4,,11,,6,1,1,0,0,3,3,,Rio Ave,,2,02.02.2017 22:00,Primeira Liga - Round 19,cat340,2,,52,,,2,,7,,1,2,0,3,1,0,1,,Braga,,3,02.02.2017 22:00,Primeira Liga - Round 19
341,cat341,1,,66,,,4,,4,,2,1,0,0,,2,0,,Rio Ave,,1,02.02.2017 22:00,Primeira Liga - Round 19,cat341,2,,34,,,1,,10,,3,0,0,5,,2,1,,Braga,,0,02.02.2017 22:00,Primeira Liga - Round 19
342,cat342,1,,44,,,4,,15,,8,5,2,0,,3,5,,Ferreira,,2,03.02.2017 21:30,Primeira Liga - Round 20,cat342,2,,56,,,3,,5,,6,3,0,0,,1,5,,Vitoria Guimaraes,,0,03.02.2017 21:30,Primeira Liga - Round 20
343,cat343,1,,46,,,1,,7,,0,1,0,1,,0,0,,Ferreira,,1,03.02.2017 21:30,Primeira Liga - Round 20,cat343,2,,54,,,3,,9,,4,0,0,1,,3,1,,Vitoria Guimaraes,,2,03.02.2017 21:30,Primeira Liga - Round 20
344,cat344,1,,63,,,2,,12,,7,1,0,0,,5,2,,Chaves,,1,04.02.2017 17:00,Primeira Liga - Round 20,cat344,2,,37,,,0,,11,,3,2,0,0,,2,1,,Boavista,,2,04.02.2017 17:00,Primeira Liga - Round 20
345,cat345,1,,49,,,7,,5,,11,0,0,1,,6,5,,Chaves,,,04.02.2017 17:00,Primeira Liga - Round 20,cat345,2,,51,,,1,,8,,2,5,0,0,,2,0,,Boavista,,,04.02.2017 17:00,Primeira Liga - Round 20
346,cat346,1,,36,,,1,,15,,4,4,0,1,,4,0,,FC Porto,,3,04.02.2017 21:30,Primeira Liga - Round 20,cat346,2,,64,,,5,,15,,10,0,1,0,,5,5,,Sporting,,2,04.02.2017 21:30,Primeira Liga - Round 20
347,cat347,1,,42,,,1,,13,,4,0,2,0,,1,3,,FC Porto,,1,04.02.2017 21:30,Primeira Liga - Round 20,cat347,2,,58,,,3,,11,,2,1,0,0,,2,0,,Sporting,,1,04.02.2017 21:30,Primeira Liga - Round 20
