,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
267,Angers,1,2.03,14,4,4,12.32,2.07,Paris Saint Germain,2,1.21,9,4,8,8.23,0.70
268,Lille,5,2.71,18,12,10,12.40,2.26,Angers,0,1.41,13,3,6,9.00,0.55
269,Angers,1,1.68,14,5,11,25.17,1.73,Saint-Etienne,1,1.20,15,4,11,6.39,0.98
270,Nimes,2,1.18,14,6,4,10.19,0.42,Paris Saint Germain,4,2.55,7,5,6,5.33,2.41
271,Bordeaux,3,0.99,15,4,5,12.38,0.97,Nimes,3,1.42,15,5,10,9.25,1.75
272,Nimes,0,0.92,7,2,5,4.58,2.07,Guingamp,0,0.36,9,3,2,15.40,0.60
273,Lyon,2,1.72,13,5,4,8.62,1.65,Nimes,0,1.40,23,6,6,13.80,1.12
274,Nimes,1,1.32,13,6,3,11.05,1.47,Saint-Etienne,1,1.22,13,5,6,10.18,1.23
275,Strasbourg,0,0.73,12,4,3,4.60,1.01,Nimes,1,1.10,14,3,2,23.53,1.66
276,Nimes,3,2.02,13,7,5,12.65,2.33,Amiens,0,0.74,8,1,4,9.38,0.48
277,Caen,1,0.78,10,3,4,10.70,0.32,Nimes,2,2.57,23,7,14,8.16,2.54
278,Nimes,2,1.21,17,6,6,3.67,1.69,Lille,3,0.80,7,6,1,20.58,0.98
279,Rennes,4,3.07,13,7,7,8.82,2.80,Nimes,0,0.72,18,6,4,9.00,0.13
280,Paris Saint Germain,3,3.96,21,7,20,4.67,2.91,Nimes,0,0.66,8,3,1,19.91,0.05
281,Amiens,2,2.31,21,6,7,6.00,2.49,Nimes,1,0.76,14,2,4,5.82,0.35
282,Nimes,2,2.36,15,4,6,5.57,2.69,Strasbourg,2,0.55,6,2,2,15.76,0.20
283,Saint-Etienne,2,2.20,14,9,2,6.68,1.76,Nimes,1,1.66,14,6,4,10.04,1.01
284,Nimes,2,1.08,13,7,4,6.52,2.20,Caen,0,0.19,5,1,0,10.53,0.49
285,Nimes,3,1.45,19,8,5,13.74,1.84,Rennes,1,0.82,7,2,3,9.46,0.88
286,Nimes,2,1.22,8,2,1,11.61,1.32,Bordeaux,1,1.21,11,2,2,7.19,1.33
287,Lille,5,2.44,14,8,9,14.18,2.49,Nimes,0,0.92,8,3,1,15.43,0.34
288,Guingamp,2,2.25,18,9,8,7.77,1.38,Nimes,2,2.28,21,4,5,13.73,1.39
289,Nimes,2,1.62,17,8,8,11.75,1.51,Lyon,3,1.46,19,8,6,12.40,1.22
290,Lille,3,1.88,15,6,17,11.38,2.46,Rennes,1,0.45,8,2,5,10.81,0.35
291,Lille,3,1.71,13,7,6,17.38,2.32,Guingamp,0,0.56,12,4,4,12.30,0.47
292,Amiens,2,1.45,7,4,4,14.65,0.46,Lille,3,2.82,18,9,7,9.16,2.36
293,Bordeaux,1,0.89,7,3,2,10.50,0.49,Lille,0,2.01,16,7,3,3.51,2.29
294,Lille,3,0.79,12,5,3,23.31,0.77,Saint-Etienne,1,1.33,7,2,4,9.14,1.91
295,Lille,1,0.61,11,4,4,7.52,1.66,Caen,0,0.25,5,1,3,9.80,0.86
296,Paris Saint Germain,2,2.34,19,5,9,4.20,2.43,Lille,1,0.93,6,2,0,14.41,0.39
297,Lille,0,1.31,22,8,8,4.03,2.36,Strasbourg,0,0.14,4,1,0,22.11,0.37
298,Lille,2,1.00,13,6,2,21.22,0.42,Lyon,2,2.54,18,5,13,4.08,2.42
299,Caen,1,1.25,9,3,3,11.26,0.26,Lille,3,3.05,12,7,5,8.94,2.61
300,Lille,2,2.43,17,3,8,6.48,2.78,Amiens,1,0.37,2,1,1,12.21,0.13
301,Guingamp,0,0.59,7,1,2,8.70,0.60,Lille,2,1.34,9,3,6,10.70,2.10
302,Strasbourg,1,0.39,9,2,3,13.15,0.64,Lille,1,1.16,15,5,5,18.56,2.06
303,Saint-Etienne,0,0.31,6,1,5,4.59,0.40,Lille,1,1.57,14,8,2,6.60,2.38
304,Lille,5,1.99,15,6,7,18.11,1.91,Paris Saint Germain,1,1.28,10,5,8,13.25,0.84
305,Lyon,2,1.67,20,8,6,7.46,1.13,Lille,2,1.91,13,6,5,20.50,1.57
306,Lille,1,0.98,8,4,5,22.86,1.72,Bordeaux,0,0.56,6,1,4,7.72,0.92
307,Rennes,3,2.10,13,8,4,12.30,2.23,Lille,1,1.03,14,7,7,11.61,0.58
308,Rennes,2,2.65,16,8,4,12.38,2.76,Bordeaux,0,0.45,8,1,3,9.55,0.15
309,Rennes,1,1.29,14,4,4,13.86,1.10,Paris Saint Germain,3,1.57,15,6,8,9.76,1.61
310,Amiens,2,0.73,12,3,2,9.00,0.56,Rennes,1,1.83,16,2,3,8.90,2.23
311,Saint-Etienne,1,1.77,9,2,4,10.46,1.15,Rennes,1,2.02,15,5,1,11.07,1.57
312,Caen,1,1.40,12,3,5,9.63,0.56,Rennes,2,2.62,22,9,7,11.39,2.24
313,Rennes,1,0.58,12,2,2,11.58,0.07,Strasbourg,4,3.48,14,8,5,24.36,2.89
314,Lyon,0,1.41,15,8,9,7.57,1.22,Rennes,2,1.54,10,2,4,13.24,1.48
315,Guingamp,2,1.14,7,2,6,16.95,1.11,Rennes,1,1.42,17,3,10,6.96,1.58
316,Paris Saint Germain,4,2.86,16,7,14,10.71,2.53,Rennes,1,1.00,10,3,5,20.65,0.33
317,Rennes,1,1.93,15,4,6,12.94,2.36,Amiens,0,0.68,9,1,1,13.00,0.44
318,Rennes,3,2.78,15,5,7,18.84,2.36,Saint-Etienne,0,1.45,15,3,8,8.74,0.46
319,Rennes,3,1.89,11,6,8,7.85,2.68,Caen,1,0.18,5,1,1,18.94,0.19
320,Bordeaux,1,1.52,14,4,4,7.92,2.02,Rennes,1,0.84,10,3,3,9.04,0.62
321,Rennes,0,1.34,12,2,6,11.12,0.95,Lyon,1,1.92,18,5,9,5.53,1.78
