,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
219,Crotone,1,0.53,6,5,1,12.43,1.17,Bologna,0,0.67,11,1,8,6.60,1.41
220,Sampdoria,1,1.34,16,2,18,10.15,2.23,Bologna,0,0.32,10,2,6,13.32,0.51
221,Bologna,1,0.41,12,7,3,19.32,0.52,AC Milan,2,1.39,9,4,5,15.12,2.23
222,Bologna,1,1.70,7,3,15,7.22,1.01,Chievo,2,2.15,13,7,7,13.28,1.72
223,Udinese,1,1.52,20,5,6,23.85,2.26,Bologna,0,0.39,8,5,10,9.36,0.50
224,Torino,3,1.24,14,5,4,9.61,1.71,Sassuolo,0,0.82,19,2,3,8.21,0.99
225,Benevento,0,1.20,15,5,4,11.92,1.52,Torino,1,1.00,16,6,10,5.75,1.17
226,Torino,2,1.33,13,3,8,14.61,1.72,Sampdoria,2,0.91,11,5,2,7.50,0.97
227,Udinese,2,2.53,16,6,9,9.38,2.12,Torino,3,1.49,13,8,5,11.42,0.68
228,Crotone,2,0.39,9,3,5,13.17,0.27,Torino,2,2.01,21,9,10,5.04,2.58
229,Fiorentina,3,1.34,16,7,4,6.67,1.81,Torino,0,0.88,5,0,8,8.13,0.87
230,Inter,1,1.64,20,5,11,9.19,1.74,Torino,1,1.13,8,3,8,12.00,0.97
231,Torino,1,2.86,19,4,7,11.22,2.42,Chievo,1,1.38,12,4,4,14.04,0.43
232,AC Milan,0,1.16,17,6,5,8.20,1.42,Torino,0,1.00,8,2,3,7.06,1.24
233,Lazio,1,1.42,20,7,8,11.48,1.64,Torino,3,1.07,19,5,8,10.05,1.09
234,SPAL 2013,2,1.28,15,4,6,8.00,1.38,Torino,2,1.24,15,5,7,6.21,1.28
235,Torino,0,1.01,17,6,3,5.43,2.28,Genoa,0,0.07,3,1,1,9.14,0.39
236,Sassuolo,1,1.41,18,6,6,7.45,1.70,Torino,1,0.97,9,4,0,7.76,0.99
237,Torino,3,2.30,14,5,4,11.24,2.77,Benevento,0,0.24,6,1,1,19.45,0.14
238,Sampdoria,1,0.30,9,3,5,5.54,0.42,Torino,1,1.39,13,5,2,11.43,2.35
239,Torino,2,1.18,14,7,1,11.18,1.89,Udinese,0,0.56,11,0,8,7.24,0.80
240,Torino,1,0.54,10,3,1,12.52,0.22,Fiorentina,2,2.19,13,5,13,9.56,2.66
241,Torino,4,2.22,9,5,4,7.83,1.75,Crotone,1,1.75,12,2,1,15.58,0.97
242,Torino,1,1.49,10,3,4,18.41,1.87,Inter,0,0.90,15,8,9,6.42,0.86
243,Chievo,0,0.56,6,0,1,15.09,1.14,Torino,0,0.72,12,3,5,13.07,1.46
244,Torino,1,1.44,12,5,6,12.17,2.25,AC Milan,1,0.50,9,5,5,14.61,0.50
245,Torino,0,0.33,8,2,6,10.84,0.09,Lazio,1,2.82,16,6,15,12.48,2.85
246,Torino,2,1.86,18,10,13,5.21,2.34,SPAL 2013,1,0.63,10,4,0,17.00,0.44
247,Genoa,1,1.10,12,2,10,11.63,1.16,Torino,2,1.25,4,2,7,11.29,1.53
248,Inter,3,2.71,16,6,12,18.44,2.81,Fiorentina,0,0.41,15,3,3,13.40,0.12
249,Inter,2,2.08,19,7,10,9.59,2.64,SPAL 2013,0,0.38,10,1,4,27.25,0.23
250,Crotone,0,1.01,12,4,1,17.86,1.56,Inter,2,0.74,6,3,7,7.47,1.08
251,Inter,1,0.61,14,7,6,8.87,1.08,Genoa,0,0.83,9,3,1,23.73,1.54
252,Benevento,1,1.29,11,2,2,20.69,0.92,Inter,2,1.96,22,7,11,11.30,1.84
253,Inter,3,2.25,15,6,4,10.84,2.42,AC Milan,2,0.84,21,6,6,10.59,0.42
254,Inter,3,3.09,24,8,7,10.46,2.62,Sampdoria,2,1.06,12,2,4,11.35,0.26
255,Inter,5,3.79,39,13,16,7.18,2.90,Chievo,0,0.46,7,4,3,25.69,0.06
256,Inter,1,2.29,26,8,6,6.10,0.91,Udinese,3,2.92,8,5,6,13.77,1.87
257,Sassuolo,1,1.06,9,4,2,17.67,1.04,Inter,0,1.37,16,4,12,3.20,1.62
258,Inter,0,0.75,10,3,6,7.17,1.00,Lazio,0,1.10,11,4,16,13.91,1.68
259,Fiorentina,1,1.93,23,4,12,8.83,1.49,Inter,1,1.71,13,4,3,10.32,1.25
260,SPAL 2013,1,1.28,12,3,3,12.65,1.99,Inter,1,0.60,10,6,10,6.36,0.73
261,Inter,1,0.55,11,2,8,6.04,0.96,Crotone,1,0.86,11,2,3,9.09,1.67
262,Genoa,2,1.05,10,2,1,19.82,1.50,Inter,0,0.89,14,5,7,5.36,1.16
263,Inter,2,0.86,8,4,5,8.16,1.80,Benevento,0,0.40,10,1,3,13.36,0.82
264,Sampdoria,0,0.48,10,2,0,16.15,0.04,Inter,5,3.66,15,8,12,11.75,2.94
