,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
64,cat68,1.0,,50,0,,2,,5,8,5,1,0,0,,2,3,,Dijon,,0,30.04.2017 17:00,Ligue 1 - Round 35,cat68,2.0,,50,3,,5,,8,5,8,3,0,0,,4,1,,Bordeaux,,1,30.04.2017 17:00,Ligue 1 - Round 35
65,cat69,1.0,,54,2,,3,,6,7,11,0,0,1,,6,3,,Dijon,,,30.04.2017 17:00,Ligue 1 - Round 35,cat69,2.0,,46,0,,2,,5,8,5,3,0,2,,5,0,,Bordeaux,,,30.04.2017 17:00,Ligue 1 - Round 35
66,cat70,1.0,,40,1,,4,,3,6,9,1,1,0,,5,3,,Caen,,1,30.04.2017 15:00,Ligue 1 - Round 35,cat70,2.0,,60,0,,1,,5,3,6,2,3,2,,2,4,,Marseille,,3,30.04.2017 15:00,Ligue 1 - Round 35
67,cat71,1.0,,56,1,,7,,1,8,5,2,0,1,,2,2,,Caen,,1,30.04.2017 15:00,Ligue 1 - Round 35,cat71,2.0,,44,1,,1,,6,2,7,2,2,1,,2,4,,Marseille,,1,30.04.2017 15:00,Ligue 1 - Round 35
68,cat72,1.0,,39,0,,0,,3,12,0,2,0,1,,0,0,,Bastia,,,29.04.2017 20:00,Ligue 1 - Round 35,cat72,2.0,,61,1,,4,,10,4,5,0,0,2,,2,2,,Rennes,,,29.04.2017 20:00,Ligue 1 - Round 35
69,cat73,1.0,,43,0,,2,,9,8,4,2,1,0,,1,3,,Bastia,,1,29.04.2017 20:00,Ligue 1 - Round 35,cat73,2.0,,57,0,,3,,7,9,7,2,0,1,,5,2,,Rennes,,1,29.04.2017 20:00,Ligue 1 - Round 35
70,cat74,1.0,,49,0,,0,,6,7,3,0,0,2,,1,2,,Guingamp,,,29.04.2017 20:00,Ligue 1 - Round 35,cat74,2.0,,51,0,,1,,7,8,0,2,0,0,,0,0,,St Etienne,,,29.04.2017 20:00,Ligue 1 - Round 35
71,cat75,1.0,,57,1,,2,,4,5,9,6,0,0,,6,2,,Guingamp,,,29.04.2017 20:00,Ligue 1 - Round 35,cat75,2.0,,43,1,,2,,4,3,11,2,2,1,,2,8,,St Etienne,,,29.04.2017 20:00,Ligue 1 - Round 35
72,cat76,1.0,,49,3,,5,,8,5,7,0,1,1,,1,3,,Metz,,0,29.04.2017 20:00,Ligue 1 - Round 35,cat76,2.0,,51,0,,1,,5,9,1,2,1,0,,0,1,,Nancy,,2,29.04.2017 20:00,Ligue 1 - Round 35
73,cat77,1.0,,35,0,,3,,9,12,5,3,1,0,,1,4,,Metz,,2,29.04.2017 20:00,Ligue 1 - Round 35,cat77,2.0,,65,3,,4,,12,9,7,3,0,0,,1,3,,Nancy,,1,29.04.2017 20:00,Ligue 1 - Round 35
