,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
347,Cagliari,0,0.38,7,0,4,27.00,0.09,Atalanta,1,3.08,25,7,13,5.24,2.86
348,Atalanta,6,2.44,14,7,13,7.33,2.44,Brescia,2,0.87,6,4,1,23.61,0.39
349,Atalanta,0,1.02,13,1,9,7.54,1.19,Inter,2,1.16,11,3,4,12.96,1.50
350,Torino,2,1.87,11,4,5,8.40,1.77,Sassuolo,1,1.35,20,9,5,3.39,0.98
351,Torino,1,1.55,15,4,4,6.46,1.63,Lecce,2,1.25,19,5,6,10.39,1.09
352,Torino,1,1.31,11,4,6,6.58,2.08,Cagliari,1,0.51,10,3,7,9.94,0.64
353,Brescia,0,0.59,9,3,4,9.64,0.12,Torino,4,3.11,21,7,10,7.78,2.81
354,Torino,0,0.43,12,2,5,9.50,0.52,Inter,3,1.46,12,5,4,7.57,2.24
355,Sassuolo,2,0.89,11,5,8,9.04,1.01,Torino,1,1.25,11,2,3,8.54,1.70
356,Lecce,4,2.40,18,10,3,8.77,2.39,Torino,0,0.96,15,3,7,8.17,0.44
357,Cagliari,4,1.64,10,5,4,17.27,1.77,Torino,2,1.21,21,5,13,5.46,0.96
358,Torino,3,1.89,20,8,13,6.19,1.72,Brescia,1,1.44,15,5,3,11.24,1.04
359,Inter,3,2.52,24,10,12,6.03,1.92,Torino,1,1.70,11,3,2,11.32,0.87
360,Sassuolo,3,0.89,12,4,6,11.86,0.20,Inter,4,3.05,13,7,6,8.42,2.71
361,Lecce,2,0.48,9,4,7,13.31,0.25,Sassuolo,2,2.17,13,3,7,9.48,2.63
362,Sassuolo,2,1.94,16,2,10,9.22,2.32,Cagliari,2,0.76,10,3,2,11.72,0.47
363,Brescia,0,1.18,19,6,8,11.43,1.72,Sassuolo,2,0.70,11,5,5,7.25,0.96
364,Sassuolo,3,2.12,20,7,12,6.64,2.55,Brescia,0,0.47,10,4,2,18.76,0.30
365,Inter,3,3.29,17,9,8,8.93,2.31,Sassuolo,3,2.01,12,4,7,8.92,0.50
366,Sassuolo,4,1.82,9,7,6,8.14,1.14,Lecce,2,2.05,9,3,3,13.83,1.57
367,Cagliari,1,0.39,2,1,2,20.36,0.97,Sassuolo,1,0.72,12,2,7,4.16,1.59
368,Cagliari,0,1.00,14,4,6,5.67,1.00,Brescia,1,1.33,10,2,5,14.67,1.70
369,Cagliari,1,0.48,8,2,2,20.15,0.32,Inter,2,1.78,9,5,7,11.68,2.51
370,Lecce,2,4.09,28,8,15,7.07,2.92,Cagliari,2,0.96,7,2,0,9.61,0.05
371,Brescia,2,1.37,11,5,8,13.21,0.28,Cagliari,2,3.55,27,9,14,7.65,2.61
372,Inter,1,1.70,18,5,12,11.19,2.02,Cagliari,1,0.83,13,2,1,16.00,0.74
373,Cagliari,0,1.42,19,5,9,17.00,1.32,Lecce,0,1.46,21,8,5,21.09,1.41
374,Brescia,1,1.63,15,6,8,16.39,2.16,Inter,2,0.77,13,2,7,6.75,0.60
375,Brescia,3,3.67,13,9,8,12.00,2.85,Lecce,0,0.91,11,4,4,4.55,0.09
376,Inter,6,4.23,21,9,21,5.97,2.99,Brescia,0,0.33,8,1,6,26.08,0.01
377,Lecce,3,2.54,17,11,5,13.78,2.43,Brescia,1,0.96,17,3,7,12.89,0.42
378,Inter,4,2.14,24,8,11,7.58,2.58,Lecce,0,0.41,17,3,5,20.75,0.28
379,Lecce,1,1.01,12,2,2,53.67,0.60,Inter,1,2.16,24,9,12,7.00,2.19
